COUNTRY,Country,Series,Pay period,TIME,Time,Unit Code,Value
NLD,Netherlands,In 2022 constant prices at 2022 USD PPPs,Hourly,2021,2021,USD,12.8693728601168
NLD,Netherlands,In 2022 constant prices at 2022 USD PPPs,Hourly,2022,2022,USD,12.0289467943393
CAN,Canada,In 2022 constant prices at 2022 USD PPPs,Hourly,2013,2013,USD,9.52088932702279
CAN,Canada,In 2022 constant prices at 2022 USD PPPs,Hourly,2014,2014,USD,9.58231483892449
CAN,Canada,In 2022 constant prices at 2022 USD PPPs,Hourly,2015,2015,USD,9.73080519364237
CAN,Canada,In 2022 constant prices at 2022 USD PPPs,Hourly,2016,2016,USD,9.88118650428104
CAN,Canada,In 2022 constant prices at 2022 USD PPPs,Hourly,2017,2017,USD,10.0530186277924
CAN,Canada,In 2022 constant prices at 2022 USD PPPs,Hourly,2018,2018,USD,11.1096001701923
CAN,Canada,In 2022 constant prices at 2022 USD PPPs,Hourly,2019,2019,USD,11.2957587954816
CAN,Canada,In 2022 constant prices at 2022 USD PPPs,Hourly,2020,2020,USD,11.5016223847378
CAN,Canada,In 2022 constant prices at 2022 USD PPPs,Hourly,2021,2021,USD,11.3845332025289
CAN,Canada,In 2022 constant prices at 2022 USD PPPs,Hourly,2022,2022,USD,11.1245052492568
TUR,Türkiye,In 2022 constant prices at 2022 USD PPPs,Hourly,2013,2013,USD,5.04485756519048
TUR,Türkiye,In 2022 constant prices at 2022 USD PPPs,Hourly,2014,2014,USD,5.10927308160418
TUR,Türkiye,In 2022 constant prices at 2022 USD PPPs,Hourly,2015,2015,USD,5.32632384955995
TUR,Türkiye,In 2022 constant prices at 2022 USD PPPs,Hourly,2016,2016,USD,6.57744746800605
TUR,Türkiye,In 2022 constant prices at 2022 USD PPPs,Hourly,2017,2017,USD,6.38684181779846
TUR,Türkiye,In 2022 constant prices at 2022 USD PPPs,Hourly,2018,2018,USD,6.26851515195493
TUR,Türkiye,In 2022 constant prices at 2022 USD PPPs,Hourly,2019,2019,USD,6.8608666949672
TUR,Türkiye,In 2022 constant prices at 2022 USD PPPs,Hourly,2020,2020,USD,7.02914375809717
TUR,Türkiye,In 2022 constant prices at 2022 USD PPPs,Hourly,2021,2021,USD,7.14452503166023
TUR,Türkiye,In 2022 constant prices at 2022 USD PPPs,Hourly,2022,2022,USD,8.81243086987132
MEX,Mexico,In 2022 constant prices at 2022 USD PPPs,Hourly,2013,2013,USD,1.00314105190465
MEX,Mexico,In 2022 constant prices at 2022 USD PPPs,Hourly,2014,2014,USD,1.00197145606553
MEX,Mexico,In 2022 constant prices at 2022 USD PPPs,Hourly,2015,2015,USD,1.02233096551319
MEX,Mexico,In 2022 constant prices at 2022 USD PPPs,Hourly,2016,2016,USD,1.05657946837245
MEX,Mexico,In 2022 constant prices at 2022 USD PPPs,Hourly,2017,2017,USD,1.09187469531917
MEX,Mexico,In 2022 constant prices at 2022 USD PPPs,Hourly,2018,2018,USD,1.14907566485091
MEX,Mexico,In 2022 constant prices at 2022 USD PPPs,Hourly,2019,2019,USD,1.28845216695208
MEX,Mexico,In 2022 constant prices at 2022 USD PPPs,Hourly,2020,2020,USD,1.49539664911857
MEX,Mexico,In 2022 constant prices at 2022 USD PPPs,Hourly,2021,2021,USD,1.62710059361847
MEX,Mexico,In 2022 constant prices at 2022 USD PPPs,Hourly,2022,2022,USD,1.83974541422676
SVK,Slovak Republic,In 2022 constant prices at 2022 USD PPPs,Hourly,2013,2013,USD,3.71310987374588
SVK,Slovak Republic,In 2022 constant prices at 2022 USD PPPs,Hourly,2014,2014,USD,3.87292472262592
SVK,Slovak Republic,In 2022 constant prices at 2022 USD PPPs,Hourly,2015,2015,USD,4.18711009080236
SVK,Slovak Republic,In 2022 constant prices at 2022 USD PPPs,Hourly,2016,2016,USD,4.49860721232741
SVK,Slovak Republic,In 2022 constant prices at 2022 USD PPPs,Hourly,2017,2017,USD,4.76432638900679
SVK,Slovak Republic,In 2022 constant prices at 2022 USD PPPs,Hourly,2018,2018,USD,5.13082547598145
SVK,Slovak Republic,In 2022 constant prices at 2022 USD PPPs,Hourly,2019,2019,USD,5.34170156173434
SVK,Slovak Republic,In 2022 constant prices at 2022 USD PPPs,Hourly,2020,2020,USD,5.91521099004456
SVK,Slovak Republic,In 2022 constant prices at 2022 USD PPPs,Hourly,2021,2021,USD,6.16511892518549
SVK,Slovak Republic,In 2022 constant prices at 2022 USD PPPs,Hourly,2022,2022,USD,5.66529844364631
ISR,Israel,In 2022 constant prices at 2022 USD PPPs,Hourly,2013,2013,USD,5.99513143044492
ISR,Israel,In 2022 constant prices at 2022 USD PPPs,Hourly,2014,2014,USD,5.96650492967173
ISR,Israel,In 2022 constant prices at 2022 USD PPPs,Hourly,2015,2015,USD,6.36867340948537
ISR,Israel,In 2022 constant prices at 2022 USD PPPs,Hourly,2016,2016,USD,6.64939858904523
ISR,Israel,In 2022 constant prices at 2022 USD PPPs,Hourly,2017,2017,USD,6.99934692838188
ISR,Israel,In 2022 constant prices at 2022 USD PPPs,Hourly,2018,2018,USD,7.36271702532425
ISR,Israel,In 2022 constant prices at 2022 USD PPPs,Hourly,2019,2019,USD,7.3006771030535
ISR,Israel,In 2022 constant prices at 2022 USD PPPs,Hourly,2020,2020,USD,7.3458106716496
ISR,Israel,In 2022 constant prices at 2022 USD PPPs,Hourly,2021,2021,USD,7.23398551054148
ISR,Israel,In 2022 constant prices at 2022 USD PPPs,Hourly,2022,2022,USD,7.02925288041271
IRL,Ireland,In 2022 constant prices at 2022 USD PPPs,Hourly,2013,2013,USD,9.26353873559826
IRL,Ireland,In 2022 constant prices at 2022 USD PPPs,Hourly,2014,2014,USD,9.2466596688281
IRL,Ireland,In 2022 constant prices at 2022 USD PPPs,Hourly,2015,2015,USD,9.27354172617578
IRL,Ireland,In 2022 constant prices at 2022 USD PPPs,Hourly,2016,2016,USD,9.80876985096963
IRL,Ireland,In 2022 constant prices at 2022 USD PPPs,Hourly,2017,2017,USD,9.88231711269959
IRL,Ireland,In 2022 constant prices at 2022 USD PPPs,Hourly,2018,2018,USD,10.1532393028888
IRL,Ireland,In 2022 constant prices at 2022 USD PPPs,Hourly,2019,2019,USD,10.3221017805772
IRL,Ireland,In 2022 constant prices at 2022 USD PPPs,Hourly,2020,2020,USD,10.6737973731057
IRL,Ireland,In 2022 constant prices at 2022 USD PPPs,Hourly,2021,2021,USD,10.5311392169097
IRL,Ireland,In 2022 constant prices at 2022 USD PPPs,Hourly,2022,2022,USD,10.0557856681112
AUS,Australia,In 2022 constant prices at 2022 USD PPPs,Hourly,2013,2013,USD,12.9781361850971
AUS,Australia,In 2022 constant prices at 2022 USD PPPs,Hourly,2014,2014,USD,13.0154933909223
AUS,Australia,In 2022 constant prices at 2022 USD PPPs,Hourly,2015,2015,USD,13.1769726004659
AUS,Australia,In 2022 constant prices at 2022 USD PPPs,Hourly,2016,2016,USD,13.3307638693632
AUS,Australia,In 2022 constant prices at 2022 USD PPPs,Hourly,2017,2017,USD,13.4495583663711
AUS,Australia,In 2022 constant prices at 2022 USD PPPs,Hourly,2018,2018,USD,13.6445469560686
AUS,Australia,In 2022 constant prices at 2022 USD PPPs,Hourly,2019,2019,USD,13.861185596832
AUS,Australia,In 2022 constant prices at 2022 USD PPPs,Hourly,2020,2020,USD,14.0739108970574
AUS,Australia,In 2022 constant prices at 2022 USD PPPs,Hourly,2021,2021,USD,13.9742125212247
AUS,Australia,In 2022 constant prices at 2022 USD PPPs,Hourly,2022,2022,USD,13.6122073962705
GRC,Greece,In 2022 constant prices at 2022 USD PPPs,Hourly,2013,2013,USD,5.60591483446758
GRC,Greece,In 2022 constant prices at 2022 USD PPPs,Hourly,2014,2014,USD,5.68045618968289
GRC,Greece,In 2022 constant prices at 2022 USD PPPs,Hourly,2015,2015,USD,5.78080532646554
GRC,Greece,In 2022 constant prices at 2022 USD PPPs,Hourly,2016,2016,USD,5.82893234881055
GRC,Greece,In 2022 constant prices at 2022 USD PPPs,Hourly,2017,2017,USD,5.76429961896548
